"Progeny" "Sire" "Dam" "Sex" "G" "NMPrg" "NFPrg" "F" "Homo" "Phen" "Res" "Polygene" "QTL"
1 0 0 "M" 0 3 1 0 0.59 32.8145891782342 11.1842821085624 0 21.6303070696717
2 0 0 "M" 0 1 1 0 0.526667 -13.6252892057195 -0.792899560918654 0 -12.8323896448009
3 0 0 "M" 0 0 5 0 0.53 3.90582590636349 14.811272809492 0 -10.9054469031285
4 0 0 "M" 0 1 4 0 0.56 14.599635122064 9.36357738612965 0 5.23605773593439
5 0 0 "M" 0 3 2 0 0.53 38.5132208412793 22.6309406237787 0 15.8822802175006
6 0 0 "M" 0 2 0 0 0.533333 23.2807130394225 20.7001275526071 0 2.58058548681533
7 0 0 "M" 0 2 0 0 0.506667 30.481567166648 26.3272016263445 0 4.15436554030353
8 0 0 "M" 0 1 2 0 0.546667 3.28172888584607 -3.22494211180919 0 6.50667099765526
9 0 0 "M" 0 0 2 0 0.563333 1.40417859361336 3.99435864553881 0 -2.59018005192545
10 0 0 "M" 0 2 2 0 0.596667 -16.8480580504247 -4.57476741412842 0 -12.2732906362963
11 0 0 "M" 0 1 4 0 0.586667 -7.26790951169982 -6.23288488866931 0 -1.03502462303051
12 0 0 "M" 0 1 2 0 0.526667 -17.7402470443202 -2.54391590001503 0 -15.1963311443052
13 0 0 "M" 0 1 1 0 0.536667 0.502538326127642 -2.5763243522956 0 3.07886267842324
14 0 0 "M" 0 2 3 0 0.53 11.0079209839597 11.777108762653 0 -0.769187778693356
15 0 0 "M" 0 2 0 0 0.553333 20.0823865996078 -2.03357529623982 0 22.1159618958476
16 0 0 "M" 0 1 2 0 0.533333 -6.96293148671635 -6.40276663142958 0 -0.560164855286773
17 0 0 "M" 0 0 2 0 0.566667 -17.1121079677564 1.78372824424067 0 -18.8958362119971
18 0 0 "M" 0 1 1 0 0.536667 -6.47371171856536 -5.47696876971 0 -0.996742948855358
19 0 0 "M" 0 2 0 0 0.503333 6.4986933691447 -5.9993416116563 0 12.498034980801
20 0 0 "M" 0 1 2 0 0.553333 -3.20836945434137 2.11793130973276 0 -5.32630076407414
21 0 0 "M" 0 2 2 0 0.543333 17.8868454450254 7.77096641028995 0 10.1158790347354
22 0 0 "M" 0 0 2 0 0.606667 25.4432221391826 13.4238067195549 0 12.0194154196277
23 0 0 "M" 0 0 5 0 0.526667 10.9955917488001 7.51217824948857 0 3.48341349931153
24 0 0 "M" 0 3 1 0 0.54 -7.0495146127452 -1.0858484370016 0 -5.96366617574361
25 0 0 "M" 0 4 2 0 0.556667 6.38509760643812 15.4203193744089 0 -9.03522176797081
26 0 0 "M" 0 2 3 0 0.573333 -17.764534033295 -5.52398713832935 0 -12.2405468949656
27 0 0 "M" 0 1 3 0 0.57 -19.6056499139631 -20.2128285960171 0 0.607178682054012
28 0 0 "M" 0 2 2 0 0.566667 19.4815463286217 12.8185206191808 0 6.66302570944089
29 0 0 "M" 0 2 1 0 0.573333 0.221654739692351 -11.527210777969 0 11.7488655176614
30 0 0 "M" 0 1 3 0 0.503333 -8.96080806763215 -7.05183458051044 0 -1.90897348712171
31 0 0 "F" 0 1 2 0 0.506667 5.80478747908556 14.9680736272827 0 -9.16328614819714
32 0 0 "F" 0 3 1 0 0.506667 -14.7024249784168 -17.775997692121 0 3.07357271370421
33 0 0 "F" 0 1 2 0 0.603333 8.55627523894675 8.02255675589017 0 0.533718483056587
34 0 0 "F" 0 2 1 0 0.51 -9.93298675970068 -13.2074738560752 0 3.27448709637456
35 0 0 "F" 0 0 1 0 0.566667 -11.2257906750312 -4.86796591566423 0 -6.35782475936693
36 0 0 "F" 0 3 0 0 0.596667 -16.6698537661071 -15.3984929257811 0 -1.27136084032598
37 0 0 "F" 0 0 4 0 0.616667 -9.23603183652057 -9.28297134402533 0 0.0469395075047617
38 0 0 "F" 0 0 1 0 0.563333 -4.05402056697848 -17.1323721524101 0 13.0783515854316
39 0 0 "F" 0 4 0 0 0.57 5.6108478058107 1.75348300199659 0 3.85736480381411
40 0 0 "F" 0 4 0 0 0.56 -32.2090765442369 -29.4867898735631 0 -2.72228667067379
41 0 0 "F" 0 2 1 0 0.623333 17.9339093747223 5.93758611102829 0 11.996323263694
42 0 0 "F" 0 1 3 0 0.61 -3.86024214369713 -11.6940767071795 0 7.83383456348236
43 0 0 "F" 0 1 1 0 0.646667 -0.091177515991359 -1.698248645222 0 1.60707112923064
44 0 0 "F" 0 2 1 0 0.576667 16.1492287523772 13.5094960598314 0 2.63973269254583
45 0 0 "F" 0 1 3 0 0.54 9.77385012974641 4.74066024995693 0 5.03318987978947
46 0 0 "F" 0 2 0 0 0.553333 -20.8225089105501 -16.4244693900908 0 -4.39803952045931
47 0 0 "F" 0 1 0 0 0.58 -17.5364723867782 -12.010017220624 0 -5.52645516615413
48 0 0 "F" 0 2 2 0 0.566667 -26.5880562786203 -16.3875059926076 0 -10.2005502860127
49 0 0 "F" 0 0 2 0 0.516667 -6.59920089768239 -3.2992996501559 0 -3.29990124752649
50 0 0 "F" 0 1 3 0 0.583333 6.44814929424516 5.24850301974651 0 1.19964627449865
51 0 0 "F" 0 3 1 0 0.556667 -2.49883864659803 -6.52543140467603 0 4.02659275807799
52 0 0 "F" 0 0 2 0 0.546667 -19.2993464840331 -25.8284552678479 0 6.52910878381477
53 0 0 "F" 0 3 1 0 0.573333 0.675294489280538 -6.07823680760598 0 6.75353129688652
54 0 0 "F" 0 1 1 0 0.53 18.9771089261213 0.185710424010734 0 18.7913985021106
55 0 0 "F" 0 0 1 0 0.556667 3.05405344774701 -1.36942806868923 0 4.42348151643624
56 0 0 "F" 0 1 0 0 0.58 -2.7848137578231 -9.92511481215015 0 7.14030105432705
57 0 0 "F" 0 1 3 0 0.536667 -23.4521604489283 -3.18840523229304 0 -20.2637552166353
58 0 0 "F" 0 1 1 0 0.53 -10.3740283989039 -10.821969145044 0 0.447940746140149
59 0 0 "F" 0 2 0 0 0.52 10.8438718170221 11.08449689403 0 -0.240625077007967
60 0 0 "F" 0 3 1 0 0.533333 -7.82161830638583 -8.46064201678571 0 0.639023710399883
61 0 0 "F" 0 2 1 0 0.543333 20.1272418833038 17.9521919484791 0 2.17504993482471
62 0 0 "F" 0 0 1 0 0.516667 19.9035319528306 18.8757121363238 0 1.02781981650681
63 0 0 "F" 0 2 2 0 0.546667 3.70619032994663 -1.04322737956872 0 4.74941770951535
